"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"57",56,0.644,0.697,0,-6.069,0,0.0542,0.56,0,0.111,0.244,120.044,"audio_features","6Z1KNUrW7f6oo97w8BNom7","spotify:track:6Z1KNUrW7f6oo97w8BNom7","https://api.spotify.com/v1/tracks/6Z1KNUrW7f6oo97w8BNom7","https://api.spotify.com/v1/audio-analysis/6Z1KNUrW7f6oo97w8BNom7",240440,4
"58",57,0.683,0.605,2,-7.85,1,0.328,0.0201,8.74e-06,0.143,0.54,69.996,"audio_features","47cvdvfCKN8SYOz2NMBoeA","spotify:track:47cvdvfCKN8SYOz2NMBoeA","https://api.spotify.com/v1/tracks/47cvdvfCKN8SYOz2NMBoeA","https://api.spotify.com/v1/audio-analysis/47cvdvfCKN8SYOz2NMBoeA",185143,4
"59",58,0.437,0.527,10,-3.305,0,0.0478,0.735,8e-04,0.153,0.135,133.819,"audio_features","1IybCpPJOlFF8XCKSYLikN","spotify:track:1IybCpPJOlFF8XCKSYLikN","https://api.spotify.com/v1/tracks/1IybCpPJOlFF8XCKSYLikN","https://api.spotify.com/v1/audio-analysis/1IybCpPJOlFF8XCKSYLikN",195356,5
"60",59,0.457,0.549,1,-5.354,0,0.03,0.157,0.0546,0.398,0.444,76.011,"audio_features","24NcYbEauj5ZYpq6Rp13q1","spotify:track:24NcYbEauj5ZYpq6Rp13q1","https://api.spotify.com/v1/tracks/24NcYbEauj5ZYpq6Rp13q1","https://api.spotify.com/v1/audio-analysis/24NcYbEauj5ZYpq6Rp13q1",162181,4
"61",60,0.42,0.447,4,-7.555,0,0.0375,0.00734,0.0156,0.202,0.216,78.775,"audio_features","2Xau3uNsnIb9FwzsvHR84z","spotify:track:2Xau3uNsnIb9FwzsvHR84z","https://api.spotify.com/v1/tracks/2Xau3uNsnIb9FwzsvHR84z","https://api.spotify.com/v1/audio-analysis/2Xau3uNsnIb9FwzsvHR84z",230613,3
"62",61,0.603,0.639,3,-6.86,0,0.0819,0.0237,9.96e-06,0.705,0.503,143.062,"audio_features","26SzctPrO5Km59OHWst3rb","spotify:track:26SzctPrO5Km59OHWst3rb","https://api.spotify.com/v1/tracks/26SzctPrO5Km59OHWst3rb","https://api.spotify.com/v1/audio-analysis/26SzctPrO5Km59OHWst3rb",214293,3
"63",62,0.373,0.434,4,-9.361,0,0.0449,0.193,0.00554,0.134,0.0793,130.702,"audio_features","3vPZNhkkhAupLlC9v3SrBj","spotify:track:3vPZNhkkhAupLlC9v3SrBj","https://api.spotify.com/v1/tracks/3vPZNhkkhAupLlC9v3SrBj","https://api.spotify.com/v1/audio-analysis/3vPZNhkkhAupLlC9v3SrBj",232493,3
"64",63,0.744,0.642,2,-4.6,0,0.031,0.115,3.95e-05,0.279,0.63,94.988,"audio_features","2flxduIqEbsicdmPyj1WVW","spotify:track:2flxduIqEbsicdmPyj1WVW","https://api.spotify.com/v1/tracks/2flxduIqEbsicdmPyj1WVW","https://api.spotify.com/v1/audio-analysis/2flxduIqEbsicdmPyj1WVW",256267,4
"65",64,0.29,0.417,6,-9.27,0,0.0627,0.674,0.011,0.123,0.165,64.829,"audio_features","7keQuzpFewU7RnNQSg8C2q","spotify:track:7keQuzpFewU7RnNQSg8C2q","https://api.spotify.com/v1/tracks/7keQuzpFewU7RnNQSg8C2q","https://api.spotify.com/v1/audio-analysis/7keQuzpFewU7RnNQSg8C2q",266547,4
"66",65,0.572,0.27,0,-15.119,1,0.0354,0.669,0.00712,0.0577,0.14,116.197,"audio_features","537IPiZTZ1GVcohzFHAHf5","spotify:track:537IPiZTZ1GVcohzFHAHf5","https://api.spotify.com/v1/tracks/537IPiZTZ1GVcohzFHAHf5","https://api.spotify.com/v1/audio-analysis/537IPiZTZ1GVcohzFHAHf5",331600,4
"67",66,0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643,"audio_features","6N22FZs2ZhPBYi3b9XPajV","spotify:track:6N22FZs2ZhPBYi3b9XPajV","https://api.spotify.com/v1/tracks/6N22FZs2ZhPBYi3b9XPajV","https://api.spotify.com/v1/audio-analysis/6N22FZs2ZhPBYi3b9XPajV",153294,1
"68",67,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,"audio_features","6K4t31amVTZDgR3sKmwUJJ","spotify:track:6K4t31amVTZDgR3sKmwUJJ","https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ","https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ",216320,4
"69",68,0.831,0.32,7,-7.916,1,0.143,0.299,0,0.0757,0.319,80.935,"audio_features","0G2wimhVoDYXbQ6csDxtSf","spotify:track:0G2wimhVoDYXbQ6csDxtSf","https://api.spotify.com/v1/tracks/0G2wimhVoDYXbQ6csDxtSf","https://api.spotify.com/v1/audio-analysis/0G2wimhVoDYXbQ6csDxtSf",217778,4
"70",69,0.513,0.497,2,-10.059,0,0.0413,0.533,0.0855,0.0867,0.117,80.042,"audio_features","1kt7yK7e8c6ELn7mzb5UCQ","spotify:track:1kt7yK7e8c6ELn7mzb5UCQ","https://api.spotify.com/v1/tracks/1kt7yK7e8c6ELn7mzb5UCQ","https://api.spotify.com/v1/audio-analysis/1kt7yK7e8c6ELn7mzb5UCQ",191974,4
"71",70,0.55,0.532,5,-7.591,1,0.032,0.174,0.000347,0.218,0.41,85.032,"audio_features","2UzMpPKPhbcC8RbsmuURAZ","spotify:track:2UzMpPKPhbcC8RbsmuURAZ","https://api.spotify.com/v1/tracks/2UzMpPKPhbcC8RbsmuURAZ","https://api.spotify.com/v1/audio-analysis/2UzMpPKPhbcC8RbsmuURAZ",272387,4
"72",71,0.584,0.7,11,-4.275,1,0.0456,0.117,0,0.0939,0.438,124.944,"audio_features","0PDUDa38GO8lMxLCRc4lL1","spotify:track:0PDUDa38GO8lMxLCRc4lL1","https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1","https://api.spotify.com/v1/audio-analysis/0PDUDa38GO8lMxLCRc4lL1",202747,4
"73",72,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120,"audio_features","3lPr8ghNDBLc2uZovNyLs9","spotify:track:3lPr8ghNDBLc2uZovNyLs9","https://api.spotify.com/v1/tracks/3lPr8ghNDBLc2uZovNyLs9","https://api.spotify.com/v1/audio-analysis/3lPr8ghNDBLc2uZovNyLs9",212440,4
"74",73,0.642,0.486,7,-8.13,1,0.035,0.0545,0.0124,0.193,0.434,109.935,"audio_features","4JKh2HXRzRNafMfwC7tE1z","spotify:track:4JKh2HXRzRNafMfwC7tE1z","https://api.spotify.com/v1/tracks/4JKh2HXRzRNafMfwC7tE1z","https://api.spotify.com/v1/audio-analysis/4JKh2HXRzRNafMfwC7tE1z",208909,4
"75",74,0.327,0.39,5,-9.131,1,0.0358,0.129,0.0198,0.119,0.0649,97.938,"audio_features","42YunpdquRjWicoxW971f4","spotify:track:42YunpdquRjWicoxW971f4","https://api.spotify.com/v1/tracks/42YunpdquRjWicoxW971f4","https://api.spotify.com/v1/audio-analysis/42YunpdquRjWicoxW971f4",150787,4
"76",75,0.58,0.443,3,-7.323,0,0.0498,0.75,0,0.0742,0.576,175.938,"audio_features","60wzbPwV6EHfBTAf95rb9n","spotify:track:60wzbPwV6EHfBTAf95rb9n","https://api.spotify.com/v1/tracks/60wzbPwV6EHfBTAf95rb9n","https://api.spotify.com/v1/audio-analysis/60wzbPwV6EHfBTAf95rb9n",210680,3
