"","X","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"21",20,0.66,0.786,4,-4.531,1,0.0333,0.0127,0,0.354,0.857,98.048,"audio_features","5MarqoT4wE5uNITGuEZams","spotify:track:5MarqoT4wE5uNITGuEZams","https://api.spotify.com/v1/tracks/5MarqoT4wE5uNITGuEZams","https://api.spotify.com/v1/audio-analysis/5MarqoT4wE5uNITGuEZams",181840,4
"22",21,0.665,0.779,0,-4.942,1,0.0427,0.382,0,0.126,0.903,104.516,"audio_features","2vSIQhbH0wUZVRR9PGck35","spotify:track:2vSIQhbH0wUZVRR9PGck35","https://api.spotify.com/v1/tracks/2vSIQhbH0wUZVRR9PGck35","https://api.spotify.com/v1/audio-analysis/2vSIQhbH0wUZVRR9PGck35",367400,4
"23",22,0.553,0.789,7,-4.426,1,0.0549,0.166,0,0.0786,0.969,206.673,"audio_features","152U4ecGSiYeKm2gnFc4wA","spotify:track:152U4ecGSiYeKm2gnFc4wA","https://api.spotify.com/v1/tracks/152U4ecGSiYeKm2gnFc4wA","https://api.spotify.com/v1/audio-analysis/152U4ecGSiYeKm2gnFc4wA",272045,4
"24",23,0.737,0.728,1,-5.317,0,0.0316,0.244,4.23e-05,0.0697,0.862,98.989,"audio_features","22FOYc0QvRyuNnisLDc7fn","spotify:track:22FOYc0QvRyuNnisLDc7fn","https://api.spotify.com/v1/tracks/22FOYc0QvRyuNnisLDc7fn","https://api.spotify.com/v1/audio-analysis/22FOYc0QvRyuNnisLDc7fn",239000,4
"25",24,0.815,0.77,2,-3.081,0,0.0356,0.117,0,0.092,0.936,105.958,"audio_features","0uSui24dm8wY5OPWkwgw9Z","spotify:track:0uSui24dm8wY5OPWkwgw9Z","https://api.spotify.com/v1/tracks/0uSui24dm8wY5OPWkwgw9Z","https://api.spotify.com/v1/audio-analysis/0uSui24dm8wY5OPWkwgw9Z",199867,4
"26",25,0.408,0.785,9,-6.485,1,0.135,0.176,0,0.135,0.905,200.547,"audio_features","1lMxEHxFMSbwr6nVxlzQ1G","spotify:track:1lMxEHxFMSbwr6nVxlzQ1G","https://api.spotify.com/v1/tracks/1lMxEHxFMSbwr6nVxlzQ1G","https://api.spotify.com/v1/audio-analysis/1lMxEHxFMSbwr6nVxlzQ1G",156520,4
"27",26,0.592,0.923,9,-5.416,1,0.06,0.00197,0,0.0631,0.962,165.877,"audio_features","1i4fB1iRLyTmOY9HroJVne","spotify:track:1i4fB1iRLyTmOY9HroJVne","https://api.spotify.com/v1/tracks/1i4fB1iRLyTmOY9HroJVne","https://api.spotify.com/v1/audio-analysis/1i4fB1iRLyTmOY9HroJVne",170840,4
"28",27,0.746,0.85,2,-3.282,1,0.0822,0.357,0,0.338,0.889,92.049,"audio_features","2ZzEsTTMNNVZ7x5mQ7O1xE","spotify:track:2ZzEsTTMNNVZ7x5mQ7O1xE","https://api.spotify.com/v1/tracks/2ZzEsTTMNNVZ7x5mQ7O1xE","https://api.spotify.com/v1/audio-analysis/2ZzEsTTMNNVZ7x5mQ7O1xE",209173,4
"29",28,0.6,0.819,2,-5.319,1,0.04,0.275,0,0.0469,0.971,200.028,"audio_features","44JE2Ja3wv1jPBGJmbz0Wi","spotify:track:44JE2Ja3wv1jPBGJmbz0Wi","https://api.spotify.com/v1/tracks/44JE2Ja3wv1jPBGJmbz0Wi","https://api.spotify.com/v1/audio-analysis/44JE2Ja3wv1jPBGJmbz0Wi",196539,4
"30",29,0.526,0.711,6,-4.373,0,0.0465,0.585,0,0.0728,0.651,176.27,"audio_features","3EYGVS7euI1GTiYkKBOSfk","spotify:track:3EYGVS7euI1GTiYkKBOSfk","https://api.spotify.com/v1/tracks/3EYGVS7euI1GTiYkKBOSfk","https://api.spotify.com/v1/audio-analysis/3EYGVS7euI1GTiYkKBOSfk",223600,4
"31",30,0.701,0.956,11,-5.146,0,0.0846,0.152,0,0.127,0.939,122.176,"audio_features","6ugIHliLvfqeh3WVn3gLEE","spotify:track:6ugIHliLvfqeh3WVn3gLEE","https://api.spotify.com/v1/tracks/6ugIHliLvfqeh3WVn3gLEE","https://api.spotify.com/v1/audio-analysis/6ugIHliLvfqeh3WVn3gLEE",221213,4
"32",31,0.669,0.785,0,-7.629,1,0.0459,0.434,0,0.271,0.952,137.386,"audio_features","0o8F132QQovqwY8ISec5uB","spotify:track:0o8F132QQovqwY8ISec5uB","https://api.spotify.com/v1/tracks/0o8F132QQovqwY8ISec5uB","https://api.spotify.com/v1/audio-analysis/0o8F132QQovqwY8ISec5uB",178373,4
"33",32,0.446,0.865,4,-5.354,0,0.114,0.115,0,0.142,0.887,174.636,"audio_features","25uRXdik8Q50BhU12KUrrL","spotify:track:25uRXdik8Q50BhU12KUrrL","https://api.spotify.com/v1/tracks/25uRXdik8Q50BhU12KUrrL","https://api.spotify.com/v1/audio-analysis/25uRXdik8Q50BhU12KUrrL",167600,4
"34",33,0.46,0.862,9,-7.146,1,0.0778,0.114,2.84e-05,0.304,0.647,136.345,"audio_features","4QchNoAz1J0D89LrqCViHC","spotify:track:4QchNoAz1J0D89LrqCViHC","https://api.spotify.com/v1/tracks/4QchNoAz1J0D89LrqCViHC","https://api.spotify.com/v1/audio-analysis/4QchNoAz1J0D89LrqCViHC",600560,4
"35",34,0.561,0.675,2,-5.792,0,0.034,0.0573,3.03e-06,0.132,0.929,96.953,"audio_features","7nqJSKq4bLSU5np1UKQl6f","spotify:track:7nqJSKq4bLSU5np1UKQl6f","https://api.spotify.com/v1/tracks/7nqJSKq4bLSU5np1UKQl6f","https://api.spotify.com/v1/audio-analysis/7nqJSKq4bLSU5np1UKQl6f",188053,4
"36",35,0.592,0.946,4,-5.299,1,0.0625,4e-04,4.52e-06,0.347,0.971,159.804,"audio_features","5G2UIdvvvKZEGtzuUDzfpc","spotify:track:5G2UIdvvvKZEGtzuUDzfpc","https://api.spotify.com/v1/tracks/5G2UIdvvvKZEGtzuUDzfpc","https://api.spotify.com/v1/audio-analysis/5G2UIdvvvKZEGtzuUDzfpc",178853,4
"37",36,0.575,0.718,4,-5.685,0,0.0442,0.251,0,0.0957,0.942,198.189,"audio_features","2b0CN55iYl4SkrKNlY7Cgq","spotify:track:2b0CN55iYl4SkrKNlY7Cgq","https://api.spotify.com/v1/tracks/2b0CN55iYl4SkrKNlY7Cgq","https://api.spotify.com/v1/audio-analysis/2b0CN55iYl4SkrKNlY7Cgq",196023,4
"38",37,0.539,0.7,4,-7.535,0,0.0373,0.0251,0,0.0722,0.842,115.121,"audio_features","56Q1u9KJUMcun4UWv0b7ik","spotify:track:56Q1u9KJUMcun4UWv0b7ik","https://api.spotify.com/v1/tracks/56Q1u9KJUMcun4UWv0b7ik","https://api.spotify.com/v1/audio-analysis/56Q1u9KJUMcun4UWv0b7ik",175267,4
"39",38,0.729,0.651,10,-5.962,0,0.0428,0.234,0,0.0888,0.95,95.992,"audio_features","2ITePMEKaSYFFoD9Lc3z4f","spotify:track:2ITePMEKaSYFFoD9Lc3z4f","https://api.spotify.com/v1/tracks/2ITePMEKaSYFFoD9Lc3z4f","https://api.spotify.com/v1/audio-analysis/2ITePMEKaSYFFoD9Lc3z4f",201828,4
